Sno,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,Daily Return,Daily Price Range,Daily Volatility,Volatility (%),7-Day MA,30-Day MA,Month
188,Aave,AAVE,2021-10-04 23:59:00,374.9705528,357.082819,359.3732187,367.2633407,278406911.9,4583145059.0,0.02164150730711145,17.887733800000035,0.04977481033424608,4.977481033424608,377.4140251,418.54913965,10
189,Aave,AAVE,2021-11-04 23:59:00,373.3787434,360.5738073,367.4890998,373.3787434,200658255.1,4660263686.0,0.016651274500591562,12.80493610000002,0.034844397036453326,3.4844397036453327,372.995312,414.10267637,11
190,Aave,AAVE,2021-12-04 23:59:00,417.7221799,365.3883757,372.4560228,396.5361375,787040258.5,4950915627.0,0.06202119030432196,52.33380420000003,0.1405100226506527,14.051002265065272,372.7969660142857,411.57626322333334,12
209,Aave,AAVE,2021-01-05 23:59:00,510.9817759,436.8353203,444.8655293,503.8656838,876659862.6,6292297830.0,0.27066775547033206,74.14645560000002,0.16667161359224697,16.667161359224696,389.92207191428577,412.98817477,1
210,Aave,AAVE,2021-02-05 23:59:00,506.5312454,474.4386431,503.7118443,483.4144442,528803162.2,6036901809.0,-0.04058867324673321,32.09260230000001,0.06371222488245946,6.371222488245946,408.83901665714285,412.7572557033333,2
211,Aave,AAVE,2021-03-05 23:59:00,532.7885589,480.5125322,482.0664511,519.0694206,800165583.1,6482162794.0,0.0737565391927939,52.27602669999999,0.10844153659877036,10.844153659877035,429.0016206428572,413.79284037,3
212,Aave,AAVE,2021-04-05 23:59:00,520.5213823,449.9758258,519.343296,453.3524114,946515500.8,5661485761.0,-0.12660543386284762,70.54555650000003,0.13583607806886955,13.583607806886954,442.4114545142857,411.6389788533333,4
213,Aave,AAVE,2021-05-05 23:59:00,483.6777131,445.15946,452.6570558,480.0308017,598275754.6,5994646725.0,0.058846913855855165,38.51825309999998,0.08509367656254697,8.509367656254698,458.52109179999997,410.3709209066667,5
214,Aave,AAVE,2021-06-05 23:59:00,480.683624,442.3893582,479.7712347,452.4087567,535837075.4,5649701358.0,-0.05754223458615193,38.294265800000005,0.07981776111263805,7.981776111263805,469.8110937,407.78800694999995,6
215,Aave,AAVE,2021-07-05 23:59:00,466.9062946,434.8065914,452.4110652,445.2223806,444097912.4,5559957563.0,-0.015884697176110185,32.09970320000002,0.07095251568572825,7.095251568572825,476.76627128571425,409.78143000999995,7
216,Aave,AAVE,2021-08-05 23:59:00,475.3547483,441.0454598,445.2240405,466.3175539,409427672.1,5823395057.0,0.04738120593032913,34.30928849999998,0.07706072758665417,7.7060727586654165,471.4022527285714,412.29447311999996,8
217,Aave,AAVE,2021-09-05 23:59:00,468.5767062,441.8913605,466.5743484,459.5872336,356162916.9,5739346507.0,-0.014432912172642087,26.68534569999997,0.05719419807692105,5.719419807692105,467.99836550000003,414.4037716666667,9
218,Aave,AAVE,2021-10-05 23:59:00,482.4224749,403.2134783,459.2990136,433.0535672,555568844.4,5407992861.0,-0.05773368897164255,79.20899659999998,0.17245627413644413,17.245627413644414,455.71038644285716,416.35332623,10
219,Aave,AAVE,2021-11-05 23:59:00,458.7511037,417.6567114,433.1589077,457.1780687,471124523.3,5709260746.0,0.05570789234223872,41.09439229999998,0.09487140070189068,9.487140070189067,456.25690891428576,419.3550773233334,11
220,Aave,AAVE,2021-12-05 23:59:00,595.8251367,456.4618022,457.4010439,490.5790314,2700355689.0,6251969445.0,0.0730589785178819,139.3633345,0.3046852130282163,30.468521302821628,457.76379887142855,422.97372533,12
240,Aave,AAVE,2021-01-06 23:59:00,392.7743238,361.5082571,382.4317336,372.8724613,599657382.4,4767779049.0,-0.23993396082195462,31.26606670000001,0.08175594218000326,8.175594218000326,446.40147095714286,421.83105832666666,1
241,Aave,AAVE,2021-02-06 23:59:00,401.7107597,361.933253,372.9090974,384.4026909,410524214.1,4915404364.0,0.03092271700570337,39.7775067,0.1066681048473665,10.666810484736649,437.7129438571429,420.29031103333335,2
242,Aave,AAVE,2021-03-06 23:59:00,408.9672603,377.8978968,384.4426313,397.4979484,357572383.8,5082959562.0,0.03406650840383074,31.06936350000001,0.08081664459255825,8.081664459255824,427.8815716428572,418.89592475,3
243,Aave,AAVE,2021-04-06 23:59:00,398.5462218,347.690425,398.5462218,373.8826303,431321243.8,4781530086.0,-0.05940991191289369,50.85579680000001,0.12760325909078787,12.760325909078787,415.6380568857143,417.74989512333326,4
244,Aave,AAVE,2021-05-06 23:59:00,391.5584486,347.7211787,373.3978012,356.6677165,357996565.6,4561449066.0,-0.04604363082122043,43.837269900000024,0.11740098564886789,11.74009856488679,404.72579249999995,416.1885080866667,5
245,Aave,AAVE,2021-06-06 23:59:00,368.2618772,354.7091051,356.796678,365.6600335,204074691.8,4676895920.0,0.02521202952776913,13.552772100000027,0.037984580394551846,3.7984580394551846,391.6517874714286,415.88668552,6
246,Aave,AAVE,2021-07-06 23:59:00,387.6455378,332.9857035,365.4744401,333.8849655,357944925.2,4270986922.0,-0.08689784250101806,54.6598343,0.14955856908911097,14.955856908911096,369.2669209142858,414.42912439333327,7
247,Aave,AAVE,2021-08-06 23:59:00,338.9941165,297.5335043,334.9433387,331.0169089,406665178.6,4234703558.0,-0.008589954314669579,41.460612200000014,0.123783958089506,12.3783958089506,363.2875562857143,411.9066112533334,8
248,Aave,AAVE,2021-09-06 23:59:00,342.5543583,306.5377913,330.0097886,338.5967323,372168431.6,4332127857.0,0.022898598821396998,36.01656700000001,0.10913787482726811,10.91378748272681,356.7438479142857,410.34581660000003,9
249,Aave,AAVE,2021-10-06 23:59:00,339.4061329,305.4126211,339.0102441,310.1483795,244954071.6,3968314481.0,-0.08401839145569334,33.993511799999965,0.10027281591518125,10.027281591518125,344.2653380714286,407.2071047466667,10
250,Aave,AAVE,2021-11-06 23:59:00,315.0776954,281.0556372,310.2511222,285.0817445,250130334.3,3647643402.0,-0.0808214282480233,34.022058200000004,0.1096597425941559,10.965974259415589,331.57949724285714,403.44567758333335,11
251,Aave,AAVE,2021-12-06 23:59:00,288.9529018,266.5094365,285.4381467,278.5140381,251587258.0,3563847178.0,-0.023037976042692643,22.443465300000014,0.0786281215719511,7.862812157195111,320.41468604285717,399.92981410333334,12
270,Aave,AAVE,2021-01-07 23:59:00,251.9744116,227.6914189,250.7104378,231.626362,330715116.2,2971685385.0,-0.1683494175728587,24.282992699999994,0.09685672807675977,9.685672807675976,301.26701868571433,395.9508318033333,1
271,Aave,AAVE,2021-02-07 23:59:00,234.4839565,215.9515394,230.8141186,233.9484366,256639522.8,3001542331.0,0.010025087731594162,18.532417100000004,0.080291522946725,8.0291522946725,286.9903717,391.1514066,2
272,Aave,AAVE,2021-03-07 23:59:00,265.1073421,228.4852059,234.2084781,259.6552253,385377799.5,3331546057.0,0.10988228463331384,36.62213619999997,0.1563655444802618,15.63655444802618,276.79584547142855,387.82379496666664,3
273,Aave,AAVE,2021-04-07 23:59:00,289.0011241,248.2854908,259.399426,277.0387917,427571943.3,3555054096.0,0.06694864846226545,40.715633300000036,0.15696115418543768,15.69611541854377,268.0018539571428,384.81631000000004,4
274,Aave,AAVE,2021-05-07 23:59:00,317.3872339,263.4338806,277.1105335,307.8290792,793140860.1,3950268561.0,0.11114070816964228,53.9533533,0.19469975615344123,19.469975615344122,267.6705253428571,382.6313211933333,5
275,Aave,AAVE,2021-06-07 23:59:00,346.7147802,307.9975253,307.9975253,316.8985074,988705452.8,4066775915.0,0.029462545330577683,38.7172549,0.125706383070085,12.5706383070085,272.2157771857143,379.9767335233334,6
282,Binance Coin,BNB,2017-01-08 23:59:00,0.106265999,0.096109398,0.104594998,0.0998668,300413.0,9986680.0,-0.9996848618795356,0.010156601000000001,0.09710407948953736,9.710407948953737,232.44232414285716,363.1845396233333,1
283,Binance Coin,BNB,2017-02-08 23:59:00,0.101210997,0.0973612,0.099721201,0.100451998,256793.0,10045200.0,0.0058597852339314915,0.003849797000000002,0.03860560203241036,3.860560203241036,199.36719414257144,347.07407321659997,2
284,Binance Coin,BNB,2017-03-08 23:59:00,0.106977999,0.0991197,0.100327998,0.106642,293008.0,10664200.0,0.06162149208819123,0.007858299,0.07832608201750421,7.832608201750421,165.96122348542858,329.7753139299333,3
285,Binance Coin,BNB,2017-04-08 23:59:00,0.107755996,0.102698997,0.106684998,0.107493997,287621.0,10749400.0,0.007989319405112383,0.0050569990000000065,0.04740121942918353,4.740121942918353,128.88297615642858,314.66715001650005,4
286,Binance Coin,BNB,2017-05-08 23:59:00,0.144653007,0.107069999,0.107418001,0.128870994,542878.0,12887100.0,0.19886689114369793,0.037583008,0.3498762558428173,34.98762558428173,89.32441605557143,298.6704189929667,5
287,Binance Coin,BNB,2017-06-08 23:59:00,0.132988006,0.127379999,0.129292995,0.130998999,393681.0,13099900.0,0.016512676234964108,0.005608006999999998,0.04337440709761576,4.337440709761576,45.36754745542857,283.59449373626666,6
288,Binance Coin,BNB,2017-07-08 23:59:00,0.149765,0.133300006,0.133957997,0.148847997,748177.0,14884800.0,0.13625293426860474,0.01646499400000001,0.12291161684061319,12.291161684061318,0.11759611214285715,268.75870931616663,7
289,Binance Coin,BNB,2017-08-08 23:59:00,0.226925001,0.147765994,0.148998007,0.224420995,2617340.0,22442100.0,0.5077192808983515,0.07915900699999998,0.5312756096126842,53.127560961268415,0.13538956857142856,253.22227155266668,8
290,Binance Coin,BNB,2017-09-08 23:59:00,0.260625005,0.222158,0.224748001,0.242911994,3075320.0,24291200.0,0.08239424747225632,0.038467005000000026,0.17115616080607554,17.115616080607555,0.15574099657142856,237.91079416579998,9
291,Binance Coin,BNB,2017-10-08 23:59:00,0.349976003,0.245051995,0.251827002,0.349079013,4118070.0,34907900.0,0.43705960027646884,0.10492400799999999,0.4166511421201765,41.66511421201765,0.19037485557142858,223.48731122623334,10
292,Binance Coin,BNB,2017-11-08 23:59:00,0.409653991,0.311066985,0.348785013,0.392571986,4413920.0,39257200.0,0.12459349138815168,0.09858700599999998,0.2826583778701523,28.26583778701523,0.23110028257142856,208.26112800243334,11
293,Binance Coin,BNB,2017-12-08 23:59:00,0.475991994,0.337588996,0.39219299,0.446364999,5080760.0,44636500.0,0.13702713112086395,0.138402998,0.3528951346121714,35.28951346121714,0.276456569,191.92337245573333,12
313,Binance Coin,BNB,2017-01-09 23:59:00,2.388989925,2.116519928,2.201689959,2.384170055,20990700.0,238417000.0,4.341301536503313,0.27246999699999996,0.12375493465199565,12.375493465199565,0.5983381484285714,179.5737627475667,1
314,Binance Coin,BNB,2017-02-09 23:59:00,2.849270105,1.722470045,2.5,1.992679954,22995400.0,199268000.0,-0.16420393343125006,1.12680006,0.45072002400000005,45.0720024,0.8617427137142857,166.8267623827,2
